is_no,pi,Latitude,Longitude
IS22938,PI570159,11.10999966,29.37999916
IS22939,PI570160,12.07999992,23.54999924
IS22941,PI570162,12.43000031,31.48999977
IS22942,PI570163,12.43000031,31.48999977
IS22943,PI570164,14.31000042,32.56999969
IS22945,PI570166,11.03999996,29.34000015
IS22947,PI570168,12.43000031,31.48999977
IS22950,PI570171,11.05000019,30.29999924
IS22953,PI570174,14.21000004,33.24000168
IS22955,PI570176,14.5,33.31999969
IS22969,PI570189,8.180000305,30.05999947
IS22970,PI570190,8.180000305,30.05999947
IS22971,PI570191,8.180000305,30.05999947
IS22998,PI570218,14.30000019,22.56999969
IS22999,PI570219,14.30000019,22.56999969
IS23000,PI570220,14.30000019,22.56999969
IS23008,PI570228,11.5,31.03000069
IS23009,PI570229,11.5,31.03000069
IS23013,PI570233,11.5,30.39999962
IS23014,PI570234,11.5,30.39999962
IS23017,PI570237,12.07999992,30.46999931
IS23024,PI570244,13.06999969,30.36000061
IS23028,PI570248,14.11999989,26.28000069
IS23029,PI570249,14.11999989,26.28000069
IS23032,PI570252,14.31999969,33.41999817
IS23034,PI570254,8.279999733,26.29000092
IS23035,PI570255,11.10000038,24.37000084
IS23036,PI570256,11.10000038,24.37000084
IS2304,PI570539,9.409999847,34.06999969
IS23040,PI570260,18.09000015,26.37999916
IS23041,PI570261,18.09000015,26.37999916
IS23042,PI570262,18.09000015,26.37999916
IS23051,PI570271,12.53999996,32.5
IS23058,PI570278,12.30000019,24.17000008
IS23059,PI570279,12.30000019,24.17000008
IS23064,PI570284,19.14999962,30.26000023
IS23068,PI570288,10.47999954,25.09000015
IS23069,PI570289,10.47999954,25.09000015
IS23072,PI570292,11.27999973,24.20000076
IS23074,PI570294,15.28999996,32.45999908
IS23075,PI570295,15.28999996,32.45999908
IS23076,PI570296,13.14999962,22.21999931
IS2319,PI570570,9.539999962,32.06999969
IS2319,PI659693,9.539999962,32.06999969
IS24694,PI585379,10.35000038,37.72999954
IS24699,PI646200,11.31000042,7.329999924
IS24700,PI646201,11.31000042,7.329999924
IS24701,PI646202,9.800000191,8.489999771
IS24703,PI646203,9.800000191,8.489999771
IS24723,PI646205,11.75,8.880000114
IS24724,PI646206,11.75,8.880000114
IS24730,PI646207,11.75,8.880000114
IS24732,PI646208,11.75,8.880000114
IS24733,PI585394,11.75,8.880000114
IS24734,PI646209,11.39000034,9.260000229
IS24748,PI646210,11.2840004,10.55000019
IS24753,PI646211,10.68999958,8.949999809
IS24799,PI585405,10.27999973,13.18999958
IS24800,PI585406,10.27999973,13.18999958
IS24811,PI585411,10.60999966,12.22999954
IS24812,PI585412,10.60999966,12.22999954
IS24817,PI585413,10.38000011,12.80000019
IS24818,PI585414,10.38000011,12.80000019
IS24824,PI585415,10.35000038,10.84000015
IS24830,PI585416,10.26000023,10.34000015
IS24831,PI585417,10.26000023,10.34000015
IS24832,PI585418,10.26000023,10.34000015
IS24841,PI646212,10.81999969,10.32999992
IS24843,PI585423,10.81999969,10.32999992
IS24856,PI646213,10.05000019,9.06000042
IS24868,PI646214,9.920000076,8.890000343
IS24869,PI646215,9.920000076,8.890000343
IS24870,PI646216,9.920000076,8.890000343
IS24883,PI646217,10.32999992,5.380000114
IS25050,PI585448,9.399999619,-0.839999974
IS25051,PI585449,9.399999619,-0.839999974
IS25059,PI585452,10.77999973,-0.810000002
IS25060,PI585453,10.93000031,-0.479999989
IS25061,PI585454,10.52000046,-0.439999998
IS25066,PI585455,10.63000011,-0.180000007
IS25070,PI585456,10.63000011,-0.180000007
IS25074,PI585457,10.69999981,-0.209999993
IS25086,PI585461,11.06000042,-0.180000007
IS25108,PI585467,9.909999847,-0.209999993
IS25110,PI585468,9.909999847,-0.209999993
IS25111,PI585469,9.909999847,-0.209999993
IS25112,PI585470,9.909999847,-0.209999993
IS25113,PI585471,10.96000004,-1.100000024
IS25115,PI585472,10.96000004,-1.100000024
IS25456,PI585572,-4.130000114,29.79000092
IS25457,PI585573,-4.130000114,29.79000092
IS25466,PI585574,-4.130000114,29.79000092
IS25505,PI585576,-3.769999981,30.21999931
IS25514,PI585577,-3.099999905,29.38999939
IS25519,PI585578,-3.130000114,29.37000084
IS25520,PI585579,-3.25,29.42000008
IS25521,PI585580,-3.25,29.39999962
IS25522,PI585581,-3.339999914,29.39999962
IS25523,PI585582,-3.339999914,29.39999962
IS25524,PI585583,-3.49000001,29.34000015
IS25556,PI585590,-1.950000048,30.05999947
IS25561,PI585595,-1.5,29.62999916
IS25563,PI585596,-1.580000043,30.05999947
IS25568,PI585600,-1.75999999,30.14999962
IS25570,PI585602,-1.75999999,30.14999962
