Accession ID,Species,Original producing area,Latitude,Longitude,Sequencing Coverage,Ecotype
HP192,O. sativa,China,30.04,121.16,1.05,indica
HP193,O. sativa,China,30.01,119.91,1.44,indica
HP194,O. sativa,China,30.16,120.1,1.16,indica
HP195,O. sativa,China,30.16,120.1,1.19,indica
HP196,O. sativa,China,30.16,120.1,1.3,indica
HP197,O. sativa,China,26.73,117.45,1.28,indica
HP198,O. sativa,China,27.34,117.48,1.13,indica
HP199,O. sativa,China,25.07,118.18,1.35,indica
HP200,O. sativa,China,24.38,117.3,0.66,indica
HP201,O. sativa,China,25,117.53,1.05,indica
HP202,O. sativa,China,23.73,117.16,0.56,indica
HP203,O. sativa,China,25.72,116.75,0.71,indica
HP204,O. sativa,China,28.47,117.97,0.63,indica
HP205,O. sativa,China,26.92,117.15,1.4,indica
HP206,O. sativa,China,27.05,118.32,0.79,indica
HP207,O. sativa,China,27.76,118.02,1.45,indica
HP208,O. sativa,China,26.8,117.8,1.3,indica
HP209,O. sativa,China,26.2,119.53,0.92,indica
HP210,O. sativa,China,26.2,119.53,1.08,indica
HP211,O. sativa,China,27.47,119.5,0.92,indica
HP212,O. sativa,China,25.07,118.18,1.17,indica
HP213,O. sativa,China,25,117.53,0.68,indica
HP214,O. sativa,China,25.72,116.75,0.99,indica
HP215,O. sativa,China,26.85,116.82,1.25,indica
HP216,O. sativa,China,23.73,117.16,0.88,indica
HP217,O. sativa,China,22.74,108.49,0.86,indica
HP218,O. sativa,China,22.87,110.53,1.09,indica
HP219,O. sativa,China,24.49,109.74,0.76,indica
HP220,O. sativa,China,23.7,113.01,1.84,indica
HP221,O. sativa,China,26.92,118.98,0.55,indica
HP222,O. sativa,China,23.08,113.14,1.04,indica
HP223,O. sativa,China,25.03,121.3,0.6,intermedia
HP224,O. sativa,China,25.03,121.3,1.76,indica
HP225,O. sativa,China,25.03,121.3,0.65,indica
HP226,O. sativa,China,25.03,121.3,0.85,indica
HP227,O. sativa,China,25.03,121.3,0.92,indica
HP228,O. sativa,China,25.03,121.3,0.86,indica
HP229,O. sativa,China,28.4,115.55,0.72,indica
HP230,O. sativa,China,22.69,109.2,0.78,indica
HP231,O. sativa,China,22.36,106.84,1.17,indica
HP232,O. sativa,China,27.22,115.14,1,indica
HP233,O. sativa,China,23.35,102.42,1.37,indica
HP234,O. sativa,China,31.32,120.62,1.61,indica
HP235,O. sativa,China,30.93,117.82,1.16,indica
HP236,O. sativa,China,31.7,117.15,1.57,indica
HP237,O. sativa,China,26.32,115.33,1,indica
HP238,O. sativa,China,27.44,115.82,1.04,indica
HP239,O. sativa,China,27.12,119.36,0.74,indica
HP240,O. sativa,China,23.99,117.34,1.17,indica
HP241,O. sativa,China,35.05,118.35,1.04,temperate japonica
HP242,O. sativa,China,19.23,109.44,1.27,indica
HP243,O. sativa,China,24.77,112.4,1.02,indica
HP244,O. sativa,China,30.35,114.17,0.88,indica
HP245,O. sativa,China,29.23,113.8,1.15,indica
HP246,O. sativa,China,29.54,114.04,1.43,indica
HP247,O. sativa,China,30.35,114.17,1.27,indica
HP248,O. sativa,China,30.35,114.17,1.4,indica
HP249,O. sativa,China,29.64,109.42,1.16,indica
HP250,O. sativa,China,27.92,110.57,0.85,indica
HP251,O. sativa,China,26.41,111.28,0.94,indica
HP252,O. sativa,China,31.81,115.42,1.41,indica
HP253,O. sativa,China,33.55,109.91,1.19,indica
HP254,O. sativa,China,32.72,113.31,1.75,indica
HP255,O. sativa,China,29.37,112.39,0.56,indica
HP256,O. sativa,China,33.15,113.98,0.62,temperate japonica
HP257,O. sativa,China,34.75,101.62,1.1,indica
HP258,O. sativa,China,34.75,101.62,0.99,temperate japonica
HP259,O. sativa,China,34.75,101.62,1.21,indica
HP260,O. sativa,China,30.88,104.32,1.16,indica
HP261,O. sativa,China,31.13,104.16,1.07,indica
HP262,O. sativa,China,31.8,104.7,1.55,indica
HP263,O. sativa,China,28.96,105.46,0.5,indica
HP264,O. sativa,China,25.67,104.24,1.22,indica
HP265,O. sativa,China,24.06,101.98,1.07,indica
HP266,O. sativa,China,25.1,104.91,0.61,indica
HP267,O. sativa,China,25.1,104.91,0.77,indica
HP268,O. sativa,China,25.1,104.91,0.56,indica
HP269,O. sativa,China,25.1,104.91,0.96,indica
HP270,O. sativa,China,25.1,104.91,1.33,indica
HP271,O. sativa,China,26.25,105.92,1.08,temperate japonica
HP272,O. sativa,China,26.84,106.59,0.99,temperate japonica
HP273,O. sativa,China,26.35,106.42,0.85,indica
HP274,O. sativa,China,27.73,109.21,0.54,indica
HP275,O. sativa,China,27.73,109.21,0.66,temperate japonica
HP276,O. sativa,China,28.27,108.13,1.14,indica
HP277,O. sativa,China,26.7,107.51,0.93,indica
HP278,O. sativa,China,25.83,107.55,0.89,temperate japonica
HP279,O. sativa,China,26.68,108.32,1.2,indica
HP280,O. sativa,China,30.35,114.17,0.81,temperate japonica
HP281,O. sativa,China,27.03,108.11,1.16,indica
HP282,O. sativa,China,26.25,105.92,1.24,temperate japonica
HP283,O. sativa,China,33,106.93,0.96,temperate japonica
HP284,O. sativa,China,33,106.93,1.27,temperate japonica
HP285,O. sativa,China,33.74,112.88,1,indica
HP287,O. sativa,China,28.96,105.46,1.3,indica
HP288,O. sativa,China,27.4,102.15,0.86,indica
HP289,O. sativa,China,22.58,101.88,1.24,indica
HP290,O. sativa,China,23.62,105.6,1.05,indica
HP291,O. sativa,China,25.44,105.18,0.64,indica
HP292,O. sativa,China,25.11,105.49,1,indica
HP293,O. sativa,China,30.35,114.17,0.95,intermedia
HP294,O. sativa,China,27.4,102.15,0.86,intermedia
HP295,O. sativa,China,29.88,118.44,0.62,indica
HP296,O. sativa,China,27.56,116.62,1.08,indica
HP297,O. sativa,China,24.59,112.07,1.31,indica
HP298,O. sativa,China,28.12,112.59,0.87,indica
HP299,O. sativa,China,32.72,113.31,1.42,indica
HP300,O. sativa,China,25.89,116.02,1.84,indica
HP301,O. sativa,China,27.12,114.97,0.6,indica
HP302,O. sativa,China,22.69,109.2,1.29,indica
HP303,O. sativa,China,24.67,109.24,1.81,indica
HP304,O. sativa,China,24.8,105.34,1.51,indica
HP305,O. sativa,China,23.15,106.41,1.38,indica
HP306,O. sativa,China,28.16,113.63,1.24,indica
HP307,O. sativa,China,28.08,104.28,1.17,indica
HP308,O. sativa,China,26.35,106.42,1.05,temperate japonica
HP309,O. sativa,China,25.81,104.64,0.98,temperate japonica
HP310,O. sativa,China,23.36,110.9,0.76,indica
HP311,O. sativa,China,34.79,116.57,0.96,indica
HP312,O. sativa,China,21.39,110.24,0.98,indica
HP313,O. sativa,China,25.44,105.18,1.03,indica
HP314,O. sativa,China,26.49,107.58,1.4,temperate japonica
HP315,O. sativa,China,25.84,107.54,0.53,temperate japonica
HP316,O. sativa,China,28.4,115.55,0.84,indica
HP317,O. sativa,China,31.95,118.83,1,indica
