Accession ID,Species,Original producing area,Latitude,Longitude,Sequencing Coverage,Ecotype
GP692,O. sativa,Hungary,NA,NA,1.46,temperate japonica
GP693,O. sativa,Colombia,NA,NA,0.66,intermedia
GP694,O. sativa,South Korea,NA,NA,1.4,temperate japonica
GP695,O. sativa,Brazil,NA,NA,0.74,tropical japonica
GP696,O. sativa,Brazil,NA,NA,0.48,tropical japonica
GP697,O. sativa,Ivory Coast,NA,NA,1.07,tropical japonica
GP698,O. sativa,Ivory Coast,NA,NA,1.02,tropical japonica
GP699,O. sativa,Ivory Coast,NA,NA,0.98,tropical japonica
GP700,O. sativa,Ivory Coast,NA,NA,0.79,tropical japonica
GP701,O. sativa,Ivory Coast,NA,NA,0.82,tropical japonica
GP702,O. sativa,South Korea,NA,NA,0.68,temperate japonica
GP703,O. sativa,South Korea,NA,NA,0.64,temperate japonica
GP704,O. sativa,Ivory Coast,NA,NA,0.98,tropical japonica
GP705,O. sativa,Ivory Coast,NA,NA,1.54,tropical japonica
GP706,O. sativa,Ivory Coast,NA,NA,1.91,tropical japonica
GP707,O. sativa,South Korea,NA,NA,0.96,temperate japonica
GP708,O. sativa,South Korea,NA,NA,1.17,temperate japonica
GP709,O. sativa,South Korea,NA,NA,0.69,temperate japonica
GP710,O. sativa,South Korea,NA,NA,0.75,temperate japonica
GP711,O. sativa,Indonesia,NA,NA,0.92,tropical japonica
GP712,O. sativa,Malaysia,NA,NA,0.73,tropical japonica
GP713,O. sativa,Bengal,NA,NA,0.76,aus
GP714,O. sativa,Indonesia,NA,NA,1.2,tropical japonica
GP715,O. sativa,Bengal,NA,NA,1.57,aus
GP716,O. sativa,North Korea,NA,NA,1.66,indica
GP717,O. sativa,Brazil,NA,NA,0.62,temperate japonica
GP718,O. sativa,India,NA,NA,0.85,tropical japonica
GP719,O. sativa,US,NA,NA,0.84,intermedia
GP720,O. sativa,Brazil,NA,NA,0.61,intermedia
GP721,O. sativa,Ivory Coast,NA,NA,0.43,tropical japonica
GP722,O. sativa,Ivory Coast,NA,NA,0.36,indica
GP723,O. sativa,Ivory Coast,NA,NA,0.5,tropical japonica
GP724,O. sativa,Ivory Coast,NA,NA,0.55,tropical japonica
GP725,O. sativa,Ivory Coast,NA,NA,0.33,tropical japonica
GP726,O. sativa,Ivory Coast,NA,NA,0.94,tropical japonica
GP727,O. sativa,Ivory Coast,NA,NA,0.82,tropical japonica
GP728,O. sativa,Ivory Coast,NA,NA,0.7,tropical japonica
GP729,O. sativa,Ivory Coast,NA,NA,0.53,tropical japonica
GP730,O. sativa,Nigeria,NA,NA,0.82,tropical japonica
GP731,O. sativa,Nigeria,NA,NA,0.51,tropical japonica
GP732,O. sativa,Nigeria,NA,NA,0.31,tropical japonica
GP733,O. sativa,Nigeria,NA,NA,0.32,tropical japonica
GP734,O. sativa,Nigeria,NA,NA,1.31,tropical japonica
GP735,O. sativa,Nigeria,NA,NA,0.37,tropical japonica
GP736,O. sativa,Nigeria,NA,NA,0.41,intermedia
GP737,O. sativa,Nigeria,NA,NA,0.76,intermedia
GP738,O. sativa,South Korea,NA,NA,0.86,temperate japonica
GP739,O. sativa,Hungary,NA,NA,0.71,temperate japonica
GP740,O. sativa,Hungary,NA,NA,0.83,temperate japonica
GP741,O. sativa,Japan,NA,NA,0.49,temperate japonica
GP742,O. sativa,South Korea,NA,NA,1.11,temperate japonica
GP743,O. sativa,South Korea,NA,NA,0.6,temperate japonica
GP744,O. sativa,Brazil,NA,NA,0.69,tropical japonica
GP745,O. sativa,Brazil,NA,NA,0.42,tropical japonica
GP746,O. sativa,South Korea,NA,NA,0.79,temperate japonica
GP747,O. sativa,South Korea,NA,NA,0.77,temperate japonica
GP748,O. sativa,South Korea,NA,NA,1.37,temperate japonica
GP749,O. sativa,South Korea,NA,NA,0.74,temperate japonica
GP750,O. sativa,Indonesia,NA,NA,0.7,temperate japonica
GP751,O. sativa,Brazil,NA,NA,0.71,tropical japonica
GP752,O. sativa,IRRI,NA,NA,0.35,intermedia
GP753,O. sativa,US,NA,NA,0.91,tropical japonica
GP754,O. sativa,North Korea,NA,NA,1.45,temperate japonica
GP755,O. sativa,North Korea,NA,NA,1.16,temperate japonica
GP756,O. sativa,North Korea,NA,NA,1.38,temperate japonica
GP758,O. sativa,US,NA,NA,0.4,tropical japonica
GP759,O. sativa,US,NA,NA,0.75,temperate japonica
GP760,O. sativa,Japan,NA,NA,0.37,temperate japonica
GP761,O. sativa,Indonesia,NA,NA,0.64,tropical japonica
GP762,O. sativa,Indonesia,NA,NA,0.49,intermedia
GP764,O. sativa,India,NA,NA,1.2,aus
GP765,O. sativa,North Korea,NA,NA,0.49,temperate japonica
GP766,O. sativa,North Korea,NA,NA,0.9,temperate japonica
GP767,O. sativa,North Korea,NA,NA,0.5,indica
GP768,O. sativa,North Korea,NA,NA,0.55,temperate japonica
GP769,O. sativa,North Korea,NA,NA,0.24,temperate japonica
GP770,O. sativa,North Korea,NA,NA,1.31,temperate japonica
GP771,O. sativa,North Korea,NA,NA,0.84,temperate japonica
GP772,O. sativa,North Korea,NA,NA,0.66,indica
GP773,O. sativa,North Korea,NA,NA,1.14,temperate japonica
GP774,O. sativa,North Korea,NA,NA,0.21,temperate japonica
GP775,O. sativa,North Korea,NA,NA,0.81,temperate japonica
GP776,O. sativa,South Korea,NA,NA,0.63,temperate japonica
GP777,O. sativa,South Korea,NA,NA,0.82,temperate japonica
GP779,O. sativa,Japan,NA,NA,1.39,temperate japonica
GP780,O. sativa,Japan,NA,NA,0.92,temperate japonica
GP782,O. sativa,South Korea,NA,NA,0.58,temperate japonica
GP783,O. sativa,Japan,NA,NA,0.56,temperate japonica
GP784,O. sativa,Japan,NA,NA,0.73,temperate japonica
GP785,O. sativa,Japan,NA,NA,0.27,indica
GP786,O. sativa,Japan,NA,NA,0.5,temperate japonica
GP787,O. sativa,Japan,NA,NA,0.57,temperate japonica
GP788,O. sativa,Japan,NA,NA,1.2,temperate japonica
GP789,O. sativa,Japan,NA,NA,1.54,temperate japonica
GP790,O. sativa,Japan,NA,NA,0.46,temperate japonica
GP791,O. sativa,Japan,NA,NA,1.02,temperate japonica
GP792,O. sativa,Japan,NA,NA,0.36,temperate japonica
GP793,O. sativa,Japan,NA,NA,0.8,temperate japonica
GP794,O. sativa,Japan,NA,NA,0.38,temperate japonica
GP795,O. sativa,Japan,NA,NA,0.41,temperate japonica
GP796,O. sativa,Japan,NA,NA,0.81,temperate japonica
GP797,O. sativa,Japan,NA,NA,0.56,temperate japonica
GP798,O. sativa,Japan,NA,NA,0.9,temperate japonica
GP799,O. sativa,Japan,NA,NA,1.15,temperate japonica
GP800,O. sativa,Japan,NA,NA,0.53,temperate japonica
GP801,O. sativa,Japan,NA,NA,0.94,temperate japonica
GP802,O. sativa,Japan,NA,NA,0.65,temperate japonica
GP803,O. sativa,Japan,NA,NA,0.67,temperate japonica
GP804,O. sativa,Japan,NA,NA,0.26,temperate japonica
GP805,O. sativa,Japan,NA,NA,0.85,temperate japonica
GP806,O. sativa,Japan,NA,NA,0.62,temperate japonica
GP807,O. sativa,Japan,NA,NA,0.41,temperate japonica
GP808,O. sativa,Japan,NA,NA,0.57,temperate japonica
GP809,O. sativa,Japan,NA,NA,1.05,temperate japonica
GP810,O. sativa,Japan,NA,NA,0.83,temperate japonica
GP811,O. sativa,Japan,NA,NA,0.85,temperate japonica
GP812,O. sativa,Japan,NA,NA,1.18,temperate japonica
GP813,O. sativa,Japan,NA,NA,0.92,temperate japonica
GP814,O. sativa,Japan,NA,NA,0.69,temperate japonica
GP815,O. sativa,Japan,NA,NA,1.05indica,
